Frame,Timestamp,red,yellow,green,blue
395,0:00:13.166,49989,26374,96,24678
396,0:00:13.200,49997,26374,96,24676
397,0:00:13.233,50439,26242,72,23071
398,0:00:13.266,50618,26086,64,22889
399,0:00:13.300,50626,26074,64,22897
400,0:00:13.333,50632,26097,64,22897
401,0:00:13.366,50668,26111,60,22597
402,0:00:13.400,50674,26115,60,22597
403,0:00:13.433,50670,26115,60,22593
404,0:00:13.466,50674,26115,60,22593
405,0:00:13.500,50761,26019,32,21324
406,0:00:13.533,50767,26009,44,21327
407,0:00:13.566,50755,26010,40,21305
408,0:00:13.600,50755,26010,40,21305
409,0:00:13.633,51154,25507,15,19594
410,0:00:13.666,51335,25344,16,19376
411,0:00:13.700,51342,25321,16,19383
412,0:00:13.733,51342,25312,16,19385
413,0:00:13.766,51378,25230,15,18942
414,0:00:13.800,51389,25201,15,18942
415,0:00:13.833,51386,25211,15,18942
416,0:00:13.866,51376,25203,15,18942
417,0:00:13.900,51457,24990,12,17620
418,0:00:13.933,51461,24990,12,17620
419,0:00:13.966,51461,24990,12,17620
420,0:00:14.000,51461,24990,12,17620
421,0:00:14.033,51892,24306,12,15214
422,0:00:14.066,52108,24222,12,14993
423,0:00:14.100,52115,24250,12,15001
424,0:00:14.133,52109,24250,12,15001
425,0:00:14.166,52136,24118,12,15017
426,0:00:14.200,52137,24118,12,15017
427,0:00:14.233,52135,24118,12,15017
428,0:00:14.266,52135,24118,12,15017
429,0:00:14.300,52237,23729,8,14548
430,0:00:14.333,52225,23733,8,14536
431,0:00:14.366,52233,23734,8,14536
432,0:00:14.400,52236,23734,8,14536
433,0:00:14.433,52924,22572,8,12588
434,0:00:14.466,53091,22560,4,12308
435,0:00:14.500,53070,22538,4,12322
436,0:00:14.533,53070,22538,4,12322
437,0:00:14.566,53098,22414,4,12263
438,0:00:14.600,53108,22414,4,12263
439,0:00:14.633,53108,22414,4,12263
440,0:00:14.666,53108,22414,4,12263
441,0:00:14.700,53214,21966,4,11626
442,0:00:14.733,53208,21966,4,11614
443,0:00:14.766,53211,21966,4,11614
444,0:00:14.800,53212,21966,4,11614
445,0:00:14.833,53595,20237,4,9032
446,0:00:14.866,53811,20186,4,8628
447,0:00:14.900,53800,20222,4,8669
448,0:00:14.933,53806,20218,4,8669
449,0:00:14.966,53819,19992,4,8530
450,0:00:15.000,53820,20028,4,8528
451,0:00:15.033,53820,20017,4,8514
452,0:00:15.066,53820,20017,4,8514
453,0:00:15.100,53891,19677,4,7777
454,0:00:15.133,53899,19681,4,7789
455,0:00:15.166,53900,19681,4,7789
456,0:00:15.200,53899,19681,4,7789
457,0:00:15.233,54575,17883,0,4925
458,0:00:15.266,54737,17916,0,4782
459,0:00:15.300,54721,17872,0,4710
460,0:00:15.333,54742,17872,0,4710
461,0:00:15.366,54756,17749,0,4581
462,0:00:15.400,54759,17749,0,4581
463,0:00:15.433,54759,17749,0,4581
464,0:00:15.466,54759,17749,0,4581
465,0:00:15.500,54878,17171,0,3809
466,0:00:15.533,54879,17175,0,3809
467,0:00:15.566,54879,17175,0,3809
468,0:00:15.600,54879,17175,0,3809
469,0:00:15.633,55938,14746,0,1600
470,0:00:15.666,56140,14793,0,1445
471,0:00:15.700,56116,14790,0,1437
472,0:00:15.733,56102,14798,0,1433
473,0:00:15.766,56217,14563,0,1181
474,0:00:15.800,56226,14561,0,1181
475,0:00:15.833,56220,14563,0,1181
476,0:00:15.866,56224,14561,0,1181
477,0:00:15.900,56275,13989,0,887
478,0:00:15.933,56278,13999,0,887
479,0:00:15.966,56271,13999,0,887
480,0:00:16.000,56278,13999,0,887
481,0:00:16.033,57262,12048,0,389
482,0:00:16.066,57449,11967,0,344
483,0:00:16.100,57412,11962,0,344
484,0:00:16.133,57419,11962,0,344
485,0:00:16.166,57481,11703,0,268
486,0:00:16.200,57476,11713,0,268
487,0:00:16.233,57476,11713,0,268
488,0:00:16.266,57476,11713,0,268
489,0:00:16.300,57622,11100,0,208
490,0:00:16.333,57625,11100,0,208
491,0:00:16.366,57625,11100,0,208
492,0:00:16.400,57625,11100,0,208
493,0:00:16.433,58980,9513,0,88
494,0:00:16.466,59122,9388,0,96
495,0:00:16.500,59153,9350,0,96
496,0:00:16.533,59149,9339,0,96
497,0:00:16.566,59226,8830,0,68
498,0:00:16.600,59229,8859,0,68
499,0:00:16.633,59221,8859,0,68
500,0:00:16.666,59230,8859,0,68
501,0:00:16.700,59419,8658,0,40
502,0:00:16.733,59436,8663,0,40
503,0:00:16.766,59440,8663,0,44
504,0:00:16.800,59450,8663,0,52
505,0:00:16.833,60845,6848,0,16
506,0:00:16.866,60994,6893,0,16
507,0:00:16.900,61000,6860,0,16
508,0:00:16.933,60993,6861,0,16
509,0:00:16.966,61115,6756,0,16
510,0:00:17.000,61119,6756,0,16
511,0:00:17.033,61117,6756,0,16
512,0:00:17.066,61125,6756,0,16
513,0:00:17.100,61316,6381,0,16
514,0:00:17.133,61309,6377,0,16
515,0:00:17.166,61319,6377,0,16
516,0:00:17.200,61309,6377,0,16
517,0:00:17.233,63402,4958,0,0
518,0:00:17.266,63535,4935,0,0
519,0:00:17.300,63506,4923,0,0
520,0:00:17.333,63495,4925,0,0
521,0:00:17.366,63658,4775,0,0
522,0:00:17.400,63666,4773,0,0
523,0:00:17.433,63668,4771,0,0
524,0:00:17.466,63674,4771,0,0
525,0:00:17.500,63929,4614,0,0
526,0:00:17.533,63932,4622,0,0
527,0:00:17.566,63939,4622,0,0
528,0:00:17.600,63931,4622,0,0
529,0:00:17.633,65812,4101,0,0
530,0:00:17.666,66012,4038,0,0
531,0:00:17.700,65992,4031,0,0
532,0:00:17.733,66004,4035,0,0
533,0:00:17.766,66308,3947,0,0
534,0:00:17.800,66313,3949,0,0
535,0:00:17.833,66316,3944,0,0
536,0:00:17.866,66316,3944,0,0
537,0:00:17.900,66597,3734,0,0
538,0:00:17.933,66596,3734,0,0
539,0:00:17.966,66596,3734,0,0
540,0:00:18.000,66596,3734,0,0
541,0:00:18.033,69950,3300,0,0
542,0:00:18.066,70441,3235,0,0
543,0:00:18.100,70477,3233,0,0
544,0:00:18.133,70475,3219,0,0
545,0:00:18.166,70763,3192,0,0
546,0:00:18.200,70754,3185,0,0
547,0:00:18.233,70752,3181,0,0
548,0:00:18.266,70752,3181,0,0
549,0:00:18.300,71366,3036,0,0
550,0:00:18.333,71354,3040,0,0
551,0:00:18.366,71348,3040,0,0
552,0:00:18.400,71344,3040,0,0
553,0:00:18.433,76187,2659,0,0
554,0:00:18.466,95090,2524,0,0
555,0:00:18.500,95101,2529,0,0
556,0:00:18.533,95099,2529,0,0
557,0:00:18.566,95251,2516,0,0
558,0:00:18.600,95255,2512,0,0
559,0:00:18.633,95254,2519,0,0
560,0:00:18.666,95254,2523,0,0
561,0:00:18.700,95839,2473,0,0
562,0:00:18.733,95837,2473,0,0
563,0:00:18.766,95838,2473,0,0
564,0:00:18.800,95834,2473,0,0
565,0:00:18.833,81766,1881,0,0
566,0:00:18.866,163135,1862,0,0
567,0:00:18.900,163244,1839,0,0
568,0:00:18.933,163246,1839,0,0
569,0:00:18.966,163635,1821,0,0
570,0:00:19.000,163637,1821,0,0
571,0:00:19.033,163639,1821,0,0
572,0:00:19.066,163636,1821,0,0
573,0:00:19.100,164942,1788,0,0
574,0:00:19.133,164938,1788,0,0
575,0:00:19.166,164939,1788,0,0
576,0:00:19.200,164942,1788,0,0
577,0:00:19.233,178567,1291,0,0
578,0:00:19.266,178832,1110,0,0
579,0:00:19.300,178817,1118,0,0
580,0:00:19.333,178836,1100,0,0
581,0:00:19.366,181064,1082,0,0
582,0:00:19.400,180986,1082,0,0
583,0:00:19.433,180986,1082,0,0
584,0:00:19.466,180986,1082,0,0
585,0:00:19.500,182210,1086,0,0
586,0:00:19.533,182214,1086,0,0
